idCompra,Fecha_Compra,nombreProveedor,Total
COMP-1,2024-06-19,Proveedor 206,1963.83
COMP-2,2025-02-14,Proveedor 288,1020.08
COMP-3,2025-06-16,Proveedor 210,1464.85
COMP-4,2024-05-22,Proveedor 67,239.96
COMP-5,2023-03-01,Proveedor 355,2794.92
COMP-6,2025-08-07,Proveedor 248,3810.68
COMP-7,2025-01-23,Proveedor 318,1503.85
COMP-8,2023-02-27,Proveedor 55,1290.83
COMP-9,2024-02-23,Proveedor 275,4569.7
COMP-10,2024-11-19,Proveedor 478,1274.55
COMP-11,2025-03-18,Proveedor 311,1901.1
COMP-12,2024-12-25,Proveedor 304,3020.82
COMP-13,2024-05-16,Proveedor 267,3390.94
COMP-14,2023-07-11,Proveedor 86,3452.73
COMP-15,2023-07-06,Proveedor 30,51.64
COMP-16,2023-08-03,Proveedor 451,2956.97
COMP-17,2024-09-27,Proveedor 449,2685.34
COMP-18,2023-04-24,Proveedor 453,2691.05
COMP-19,2025-06-30,Proveedor 19,2295.32
COMP-20,2024-06-25,Proveedor 387,2322.81
COMP-21,2023-09-15,Proveedor 428,312.23
COMP-22,2024-07-30,Proveedor 415,1092.45
COMP-23,2025-10-15,Proveedor 424,4873.03
COMP-24,2024-11-20,Proveedor 169,3438.68
COMP-25,2024-07-31,Proveedor 207,2056.69
COMP-26,2025-05-06,Proveedor 208,3099.53
COMP-27,2024-04-24,Proveedor 423,2882.35
COMP-28,2023-02-07,Proveedor 8,709.44
COMP-29,2024-04-07,Proveedor 207,2553.8
COMP-30,2024-01-15,Proveedor 96,3713.55
COMP-31,2023-12-29,Proveedor 427,4662.72
COMP-32,2025-10-18,Proveedor 483,236.55
COMP-33,2024-02-15,Proveedor 212,3764.77
COMP-34,2023-03-20,Proveedor 491,2797.85
COMP-35,2025-07-28,Proveedor 167,641.69
COMP-36,2025-09-18,Proveedor 2,2704.38
COMP-37,2023-05-13,Proveedor 489,1035.22
COMP-38,2023-02-24,Proveedor 267,2923.62
