idDetalleVenta,idVenta,idProduc,nomProduc,precioProduc,CantidadProduc,Subtotal
1,1,18,Llave Angular Cromada (Modelo 18),12.0,6,72.0
2,1,30,"Caño Jardin Bronce 1/2"" (Modelo 30)",15.0,9,135.0
3,2,44,Tubo de Abasto Aluminio (Modelo 44),8.0,1,8.0
4,3,39,Guantes de Seguridad (Modelo 39),8.0,8,64.0
5,3,12,Tubo de Abasto Aluminio,8.0,8,64.0
6,3,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,9,315.0
7,3,23,Pegamento PVC Oatey Azul (Modelo 23),35.0,6,210.0
8,4,19,Pegamento PVC Oatey Azul (Modelo 19),35.0,1,35.0
9,5,37,Tubo de Abasto Aluminio (Modelo 37),8.0,4,32.0
10,5,15,Guantes de Seguridad,8.0,4,32.0
11,6,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,1,14.0
12,6,50,"Codo PVC 4"" Desague 90° (Modelo 50)",3.5,1,3.5
13,6,31,Hoja de Sierra Sandflex (Modelo 31),5.0,3,15.0
14,6,42,Cinta Teflon Grande (Modelo 42),2.5,3,7.5
15,7,39,Guantes de Seguridad (Modelo 39),8.0,5,40.0
16,7,46,Llave Angular Cromada (Modelo 46),12.0,5,60.0
17,7,28,Tubo de Abasto Aluminio (Modelo 28),8.0,7,56.0
18,8,14,Martillo de Uña,25.0,8,200.0
19,8,20,Llave Lavatorio Vainsa (Modelo 20),45.0,9,405.0
20,8,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,7,840.0
21,9,43,Cinta Teflon Grande (Modelo 43),2.5,6,15.0
22,9,36,Hoja de Sierra Sandflex (Modelo 36),5.0,10,50.0
23,9,39,Guantes de Seguridad (Modelo 39),8.0,5,40.0
24,9,20,Llave Lavatorio Vainsa (Modelo 20),45.0,2,90.0
25,9,31,Hoja de Sierra Sandflex (Modelo 31),5.0,2,10.0
26,10,18,Llave Angular Cromada (Modelo 18),12.0,5,60.0
27,10,42,Cinta Teflon Grande (Modelo 42),2.5,5,12.5
28,10,13,Hoja de Sierra Sandflex,5.0,3,15.0
29,11,26,Hoja de Sierra Sandflex (Modelo 26),5.0,6,30.0
30,11,44,Tubo de Abasto Aluminio (Modelo 44),8.0,3,24.0
31,11,47,Mezcladora Ducha Italgrif (Modelo 47),120.0,1,120.0
32,11,42,Cinta Teflon Grande (Modelo 42),2.5,8,20.0
33,11,19,Pegamento PVC Oatey Azul (Modelo 19),35.0,5,175.0
34,12,48,Martillo de Uña (Modelo 48),25.0,1,25.0
35,12,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,10,350.0
36,12,13,Hoja de Sierra Sandflex,5.0,6,30.0
37,12,47,Mezcladora Ducha Italgrif (Modelo 47),120.0,4,480.0
38,13,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,5,70.0
39,13,11,Sifón Botella Lavatorio PVC,15.0,9,135.0
40,13,12,Tubo de Abasto Aluminio,8.0,5,40.0
41,14,48,Martillo de Uña (Modelo 48),25.0,5,125.0
42,14,47,Mezcladora Ducha Italgrif (Modelo 47),120.0,9,1080.0
43,15,42,Cinta Teflon Grande (Modelo 42),2.5,2,5.0
44,15,15,Guantes de Seguridad,8.0,6,48.0
45,15,15,Guantes de Seguridad,8.0,5,40.0
46,16,17,Llave Lavatorio Vainsa (Modelo 17),45.0,10,450.0
47,16,19,Pegamento PVC Oatey Azul (Modelo 19),35.0,8,280.0
48,16,8,"Codo PVC 4"" Desague 90°",3.5,8,28.0
49,17,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,10,350.0
50,17,5,Mezcladora Monocomando Cocina,180.0,8,1440.0
51,17,13,Hoja de Sierra Sandflex,5.0,9,45.0
52,17,8,"Codo PVC 4"" Desague 90°",3.5,7,24.5
53,17,34,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 34)",28.0,5,140.0
54,18,9,Pegamento PVC Oatey Azul,35.0,4,140.0
55,18,22,Sifón Botella Lavatorio PVC (Modelo 22),15.0,7,105.0
56,19,46,Llave Angular Cromada (Modelo 46),12.0,3,36.0
57,19,50,"Codo PVC 4"" Desague 90° (Modelo 50)",3.5,2,7.0
58,19,32,Mezcladora Ducha Italgrif (Modelo 32),120.0,6,720.0
59,20,1,Llave Lavatorio Vainsa,45.0,8,360.0
60,21,37,Tubo de Abasto Aluminio (Modelo 37),8.0,3,24.0
61,21,32,Mezcladora Ducha Italgrif (Modelo 32),120.0,2,240.0
62,22,41,Mezcladora Monocomando Cocina (Modelo 41),180.0,7,1260.0
63,22,26,Hoja de Sierra Sandflex (Modelo 26),5.0,7,35.0
64,22,31,Hoja de Sierra Sandflex (Modelo 31),5.0,7,35.0
65,22,1,Llave Lavatorio Vainsa,45.0,1,45.0
66,23,1,Llave Lavatorio Vainsa,45.0,6,270.0
67,23,49,"Tubo PVC Agua 1/2"" (5m) (Modelo 49)",14.0,9,126.0
68,23,13,Hoja de Sierra Sandflex,5.0,1,5.0
69,24,15,Guantes de Seguridad,8.0,6,48.0
70,24,20,Llave Lavatorio Vainsa (Modelo 20),45.0,3,135.0
71,25,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,5,175.0
72,25,11,Sifón Botella Lavatorio PVC,15.0,2,30.0
73,25,3,"Caño Jardin Bronce 1/2""",15.0,5,75.0
74,25,19,Pegamento PVC Oatey Azul (Modelo 19),35.0,8,280.0
75,25,47,Mezcladora Ducha Italgrif (Modelo 47),120.0,9,1080.0
76,26,22,Sifón Botella Lavatorio PVC (Modelo 22),15.0,8,120.0
77,26,23,Pegamento PVC Oatey Azul (Modelo 23),35.0,4,140.0
78,27,15,Guantes de Seguridad,8.0,4,32.0
79,28,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,9,315.0
80,29,46,Llave Angular Cromada (Modelo 46),12.0,1,12.0
81,29,25,Cinta Teflon Grande (Modelo 25),2.5,5,12.5
82,29,50,"Codo PVC 4"" Desague 90° (Modelo 50)",3.5,9,31.5
83,30,43,Cinta Teflon Grande (Modelo 43),2.5,2,5.0
84,31,27,Hoja de Sierra Sandflex (Modelo 27),5.0,8,40.0
85,32,17,Llave Lavatorio Vainsa (Modelo 17),45.0,8,360.0
86,32,45,Llave Lavatorio Vainsa (Modelo 45),45.0,3,135.0
87,32,14,Martillo de Uña,25.0,1,25.0
88,32,20,Llave Lavatorio Vainsa (Modelo 20),45.0,7,315.0
89,32,43,Cinta Teflon Grande (Modelo 43),2.5,2,5.0
90,33,45,Llave Lavatorio Vainsa (Modelo 45),45.0,3,135.0
91,33,27,Hoja de Sierra Sandflex (Modelo 27),5.0,2,10.0
92,33,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,10,140.0
93,33,8,"Codo PVC 4"" Desague 90°",3.5,5,17.5
94,33,8,"Codo PVC 4"" Desague 90°",3.5,2,7.0
95,34,13,Hoja de Sierra Sandflex,5.0,5,25.0
96,34,34,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 34)",28.0,4,112.0
97,34,23,Pegamento PVC Oatey Azul (Modelo 23),35.0,7,245.0
98,34,19,Pegamento PVC Oatey Azul (Modelo 19),35.0,3,105.0
99,34,3,"Caño Jardin Bronce 1/2""",15.0,9,135.0
100,35,22,Sifón Botella Lavatorio PVC (Modelo 22),15.0,4,60.0
101,35,1,Llave Lavatorio Vainsa,45.0,1,45.0
102,35,43,Cinta Teflon Grande (Modelo 43),2.5,2,5.0
103,35,8,"Codo PVC 4"" Desague 90°",3.5,10,35.0
104,36,50,"Codo PVC 4"" Desague 90° (Modelo 50)",3.5,9,31.5
105,37,17,Llave Lavatorio Vainsa (Modelo 17),45.0,4,180.0
106,38,30,"Caño Jardin Bronce 1/2"" (Modelo 30)",15.0,1,15.0
107,38,7,"Tubo PVC Agua 1/2"" (5m)",14.0,3,42.0
108,38,3,"Caño Jardin Bronce 1/2""",15.0,5,75.0
109,39,28,Tubo de Abasto Aluminio (Modelo 28),8.0,2,16.0
110,39,7,"Tubo PVC Agua 1/2"" (5m)",14.0,1,14.0
111,39,1,Llave Lavatorio Vainsa,45.0,3,135.0
112,40,29,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 29)",28.0,10,280.0
113,40,18,Llave Angular Cromada (Modelo 18),12.0,2,24.0
114,40,24,Llave Angular Cromada (Modelo 24),12.0,6,72.0
115,41,26,Hoja de Sierra Sandflex (Modelo 26),5.0,8,40.0
116,41,18,Llave Angular Cromada (Modelo 18),12.0,7,84.0
117,41,45,Llave Lavatorio Vainsa (Modelo 45),45.0,8,360.0
118,41,27,Hoja de Sierra Sandflex (Modelo 27),5.0,3,15.0
119,42,11,Sifón Botella Lavatorio PVC,15.0,2,30.0
120,43,37,Tubo de Abasto Aluminio (Modelo 37),8.0,8,64.0
121,43,12,Tubo de Abasto Aluminio,8.0,10,80.0
122,43,25,Cinta Teflon Grande (Modelo 25),2.5,6,15.0
123,43,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,1,120.0
124,44,8,"Codo PVC 4"" Desague 90°",3.5,7,24.5
125,44,29,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 29)",28.0,1,28.0
126,44,5,Mezcladora Monocomando Cocina,180.0,5,900.0
127,44,42,Cinta Teflon Grande (Modelo 42),2.5,6,15.0
