idDetalleCompra,idCompra,idProduc,nomProduc,precioProduc,CantidadProduc,Subtotal
1,1,46,Llave Lavatorio Vainsa - Lote 46,26.09,59,1539.31
2,1,43,Hoja Sierra - Lote 43,2.94,67,196.98
3,1,34,Llave Angular Cromada - Lote 34,6.29,77,484.33
4,1,15,Guantes - Lote 15,4.54,28,127.12
5,1,38,"Codo PVC 4"" - Lote 38",1.91,90,171.9
6,1,15,Guantes - Lote 15,4.11,20,82.2
7,2,5,Mezcladora Monocomando - Lote 5,120.95,24,2902.8
8,2,5,Mezcladora Monocomando - Lote 5,98.57,85,8378.45
9,2,43,Hoja Sierra - Lote 43,2.71,82,222.22
10,2,9,Pegamento PVC Oatey - Lote 9,21.53,93,2002.29
11,2,16,Llave Lavatorio Vainsa - Lote 16,29.77,80,2381.6
12,2,13,Hoja Sierra - Lote 13,2.6,32,83.2
13,3,28,Hoja Sierra - Lote 28,2.97,72,213.84
14,3,47,Mezcladora Ducha Italgrif - Lote 47,76.16,26,1980.16
15,3,42,Tubo Abasto - Lote 42,4.1,32,131.2
16,3,47,Mezcladora Ducha Italgrif - Lote 47,79.21,63,4990.23
17,3,7,"Tubo PVC Agua 1/2"" - Lote 7",7.54,51,384.54
18,3,35,Mezcladora Monocomando - Lote 35,95.05,77,7318.85
19,3,12,Tubo Abasto - Lote 12,4.74,55,260.7
20,3,5,Mezcladora Monocomando - Lote 5,119.09,76,9050.84
21,4,4,Llave Angular Cromada - Lote 4,8.01,89,712.89
22,4,6,"Tubo PVC Desague 4"" - Lote 6",14.93,50,746.5
23,4,32,Mezcladora Ducha Italgrif - Lote 32,65.13,81,5275.53
24,4,26,Sifón Botella - Lote 26,7.99,27,215.73
25,5,17,Mezcladora Ducha Italgrif - Lote 17,66.85,78,5214.3
26,5,45,Guantes - Lote 45,5.06,91,460.46
27,5,32,Mezcladora Ducha Italgrif - Lote 32,64.56,39,2517.84
28,5,14,Martillo - Lote 14,15.4,27,415.8
29,5,35,Mezcladora Monocomando - Lote 35,116.93,27,3157.11
30,5,4,Llave Angular Cromada - Lote 4,7.4,26,192.4
31,5,33,"Caño Jardin Bronce 1/2"" - Lote 33",7.97,87,693.39
32,5,33,"Caño Jardin Bronce 1/2"" - Lote 33",10.05,30,301.5
33,5,5,Mezcladora Monocomando - Lote 5,92.45,96,8875.2
34,6,8,"Codo PVC 4"" - Lote 8",1.92,92,176.64
35,6,39,Pegamento PVC Oatey - Lote 39,21.84,25,546.0
36,6,27,Tubo Abasto - Lote 27,4.9,94,460.6
37,6,21,"Tubo PVC Desague 4"" - Lote 21",15.14,53,802.42
38,6,46,Llave Lavatorio Vainsa - Lote 46,24.65,60,1479.0
39,6,26,Sifón Botella - Lote 26,9.52,36,342.72
40,6,20,Mezcladora Monocomando - Lote 20,101.38,78,7907.64
41,6,49,Llave Angular Cromada - Lote 49,6.02,29,174.58
