idVenta,idCliente,Fecha_Venta,Total,tipoVenta,montoPagadoInicial,estadoPago,idMetodoPago,nombreMetodo
1,93,2023-01-01,207.0,Contado,207.0,Pagado,2,Transferencia
2,163,2023-01-01,8.0,Contado,8.0,Pagado,3,Yape
3,96,2023-01-01,653.0,Contado,653.0,Pagado,3,Yape
4,67,2023-01-01,35.0,Contado,35.0,Pagado,2,Transferencia
5,13,2023-01-01,64.0,Contado,64.0,Pagado,3,Yape
6,69,2023-01-01,40.0,Contado,40.0,Pagado,1,Efectivo
7,58,2023-01-01,156.0,Contado,156.0,Pagado,4,Plin
8,118,2023-01-01,1445.0,Crédito,1445.0,Pagado,1,Efectivo
9,2,2023-01-01,205.0,Contado,205.0,Pagado,4,Plin
10,71,2023-01-01,87.5,Contado,87.5,Pagado,3,Yape
11,15,2023-01-01,369.0,Contado,369.0,Pagado,2,Transferencia
12,104,2023-01-01,885.0,Contado,885.0,Pagado,2,Transferencia
13,172,2023-01-01,245.0,Contado,245.0,Pagado,1,Efectivo
14,121,2023-01-02,1205.0,Crédito,1205.0,Pagado,3,Yape
15,175,2023-01-02,93.0,Contado,93.0,Pagado,2,Transferencia
16,85,2023-01-02,758.0,Contado,758.0,Pagado,1,Efectivo
17,163,2023-01-02,1999.5,Crédito,1999.5,Pagado,2,Transferencia
18,14,2023-01-02,245.0,Contado,245.0,Pagado,2,Transferencia
19,37,2023-01-02,763.0,Contado,763.0,Pagado,3,Yape
20,81,2023-01-02,360.0,Contado,360.0,Pagado,4,Plin
21,54,2023-01-02,264.0,Contado,264.0,Pagado,3,Yape
22,158,2023-01-02,1375.0,Crédito,1375.0,Pagado,3,Yape
23,188,2023-01-02,401.0,Contado,401.0,Pagado,1,Efectivo
24,161,2023-01-02,183.0,Contado,183.0,Pagado,1,Efectivo
25,99,2023-01-02,1640.0,Crédito,1640.0,Pagado,4,Plin
26,112,2023-01-02,260.0,Contado,260.0,Pagado,3,Yape
27,104,2023-01-02,32.0,Contado,32.0,Pagado,3,Yape
28,55,2023-01-03,315.0,Contado,315.0,Pagado,3,Yape
29,32,2023-01-03,56.0,Contado,56.0,Pagado,1,Efectivo
30,153,2023-01-03,5.0,Contado,5.0,Pagado,1,Efectivo
31,13,2023-01-03,40.0,Contado,40.0,Pagado,2,Transferencia
32,32,2023-01-03,840.0,Contado,840.0,Pagado,4,Plin
33,160,2023-01-03,309.5,Contado,309.5,Pagado,2,Transferencia
34,51,2023-01-03,622.0,Contado,622.0,Pagado,2,Transferencia
35,54,2023-01-03,145.0,Contado,145.0,Pagado,2,Transferencia
36,39,2023-01-03,31.5,Contado,31.5,Pagado,1,Efectivo
37,186,2023-01-03,180.0,Contado,180.0,Pagado,2,Transferencia
38,76,2023-01-03,132.0,Contado,132.0,Pagado,4,Plin
39,174,2023-01-03,165.0,Contado,165.0,Pagado,3,Yape
40,85,2023-01-03,376.0,Contado,376.0,Pagado,3,Yape
41,30,2023-01-03,499.0,Contado,499.0,Pagado,1,Efectivo
42,34,2023-01-04,30.0,Contado,30.0,Pagado,2,Transferencia
43,152,2023-01-04,279.0,Contado,279.0,Pagado,3,Yape
44,124,2023-01-04,967.5,Contado,967.5,Pagado,1,Efectivo
45,181,2023-01-04,1985.0,Crédito,1985.0,Pagado,1,Efectivo
46,111,2023-01-04,47.5,Contado,47.5,Pagado,3,Yape
47,143,2023-01-04,1931.5,Crédito,1931.5,Pagado,4,Plin
48,62,2023-01-04,103.0,Contado,103.0,Pagado,2,Transferencia
49,61,2023-01-04,120.0,Contado,120.0,Pagado,2,Transferencia
50,23,2023-01-04,319.0,Contado,319.0,Pagado,2,Transferencia
51,10,2023-01-04,1211.0,Crédito,1211.0,Pagado,4,Plin
52,94,2023-01-04,64.0,Contado,64.0,Pagado,4,Plin
53,144,2023-01-04,295.0,Contado,295.0,Pagado,1,Efectivo
54,88,2023-01-04,969.0,Contado,969.0,Pagado,1,Efectivo
55,43,2023-01-04,805.0,Contado,805.0,Pagado,2,Transferencia
56,56,2023-01-05,306.0,Contado,306.0,Pagado,2,Transferencia
57,169,2023-01-05,505.0,Contado,505.0,Pagado,3,Yape
58,178,2023-01-05,293.0,Contado,293.0,Pagado,2,Transferencia
59,156,2023-01-05,159.0,Contado,159.0,Pagado,2,Transferencia
60,35,2023-01-05,455.0,Contado,455.0,Pagado,4,Plin
61,180,2023-01-05,1496.0,Crédito,1496.0,Pagado,3,Yape
62,182,2023-01-05,396.0,Contado,396.0,Pagado,1,Efectivo
63,195,2023-01-05,407.5,Contado,407.5,Pagado,4,Plin
64,109,2023-01-05,56.0,Contado,56.0,Pagado,1,Efectivo
65,98,2023-01-05,37.0,Contado,37.0,Pagado,3,Yape
66,74,2023-01-05,452.5,Contado,452.5,Pagado,1,Efectivo
67,92,2023-01-05,294.0,Contado,294.0,Pagado,4,Plin
68,178,2023-01-05,17.5,Contado,17.5,Pagado,2,Transferencia
69,176,2023-01-05,280.0,Contado,280.0,Pagado,2,Transferencia
70,58,2023-01-06,185.0,Contado,185.0,Pagado,4,Plin
71,115,2023-01-06,40.0,Contado,40.0,Pagado,1,Efectivo
72,97,2023-01-06,40.0,Contado,40.0,Pagado,4,Plin
73,34,2023-01-06,445.0,Contado,445.0,Pagado,2,Transferencia
74,182,2023-01-06,165.0,Contado,165.0,Pagado,1,Efectivo
75,199,2023-01-06,2434.5,Crédito,2434.5,Pagado,3,Yape
76,134,2023-01-06,42.0,Contado,42.0,Pagado,2,Transferencia
77,140,2023-01-06,530.0,Contado,530.0,Pagado,2,Transferencia
78,144,2023-01-06,21.0,Contado,21.0,Pagado,2,Transferencia
79,62,2023-01-06,600.0,Contado,600.0,Pagado,1,Efectivo
80,133,2023-01-06,425.0,Contado,425.0,Pagado,3,Yape
81,83,2023-01-06,653.5,Contado,653.5,Pagado,2,Transferencia
82,27,2023-01-06,22.5,Contado,22.5,Pagado,3,Yape
83,7,2023-01-06,322.0,Contado,322.0,Pagado,1,Efectivo
84,148,2023-01-07,335.0,Contado,335.0,Pagado,2,Transferencia
85,111,2023-01-07,858.5,Contado,858.5,Pagado,1,Efectivo
86,194,2023-01-07,471.0,Contado,471.0,Pagado,4,Plin
87,196,2023-01-07,45.0,Contado,45.0,Pagado,3,Yape
88,192,2023-01-07,1227.5,Crédito,1227.5,Pagado,3,Yape
89,32,2023-01-07,450.0,Contado,450.0,Pagado,2,Transferencia
90,138,2023-01-07,495.0,Contado,495.0,Pagado,3,Yape
91,57,2023-01-07,458.5,Contado,458.5,Pagado,1,Efectivo
92,75,2023-01-07,90.0,Contado,90.0,Pagado,3,Yape
93,186,2023-01-07,1145.0,Crédito,1145.0,Pagado,3,Yape
94,82,2023-01-07,1243.0,Crédito,1243.0,Pagado,4,Plin
95,81,2023-01-07,191.0,Contado,191.0,Pagado,3,Yape
96,174,2023-01-07,225.5,Contado,225.5,Pagado,2,Transferencia
97,142,2023-01-07,80.0,Contado,80.0,Pagado,1,Efectivo
98,72,2023-01-08,100.0,Contado,100.0,Pagado,1,Efectivo
99,5,2023-01-08,630.0,Contado,630.0,Pagado,2,Transferencia
100,168,2023-01-08,164.0,Contado,164.0,Pagado,4,Plin
101,35,2023-01-08,610.0,Contado,610.0,Pagado,3,Yape
102,194,2023-01-08,612.5,Contado,612.5,Pagado,4,Plin
103,11,2023-01-08,128.0,Contado,128.0,Pagado,4,Plin
104,95,2023-01-08,228.0,Contado,228.0,Pagado,2,Transferencia
105,121,2023-01-08,1056.0,Crédito,1056.0,Pagado,4,Plin
106,149,2023-01-08,306.5,Contado,306.5,Pagado,2,Transferencia
107,58,2023-01-08,1045.0,Crédito,1045.0,Pagado,3,Yape
108,59,2023-01-08,70.0,Contado,70.0,Pagado,3,Yape
109,39,2023-01-08,106.0,Contado,106.0,Pagado,3,Yape
110,107,2023-01-08,300.0,Contado,300.0,Pagado,3,Yape
111,166,2023-01-08,650.0,Contado,650.0,Pagado,1,Efectivo
112,147,2023-01-09,171.0,Contado,171.0,Pagado,2,Transferencia
